,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
21,5.8363186068,5.9125690115,5.9857585521,6.0521871821,6.1085321179,6.1528963072,6.1852931063,6.2075504015,6.2227363286,6.234309536,6.2452488975,6.2574049499,6.2712407933,6.2860137565,6.3003223669,6.3128404197,6.323008927,6.3314709088,6.3401089515,6.3516601652,6.3690057367,6.3943287181,6.4283772034,6.4700483282,6.5164270633,6.563294382,6.6059941563,6.6404508295,6.664086663,6.676409784,6.6791263171,6.6757496633,6.6708057333,6.6688316679,6.6734119487,6.6864788134,6.7080295701,6.7363028776,6.768339529,6.8007616606,6.8305608382,6.8556995582,6.8753957611,6.8900556594,6.9009185138,6.9095503233,6.917352301,6.9252287036,6.9334964733,6.9420382126
22,5.776904905,5.8531553097,5.9263448503,5.9927734803,6.0491184162,6.0934826054,6.1258794046,6.1481366997,6.1633226269,6.1748958343,6.1858351957,6.1979912482,6.2118270916,6.2266000547,6.2409086652,6.2534267179,6.2635952252,6.272057207,6.2806952498,6.2922464634,6.309592035,6.3349150163,6.3689635017,6.4106346264,6.4570133616,6.5038806802,6.5465804545,6.5810371278,6.6046729612,6.6169960822,6.6197126153,6.6163359615,6.6113920316,6.6094179662,6.613998247,6.6270651116,6.6486158683,6.6768891759,6.7089258272,6.7413479588,6.7711471364,6.7962858564,6.8159820593,6.8306419577,6.8415048121,6.8501366215,6.8579385992,6.8658150018,6.8740827715,6.8826245108
23,5.715894125,5.7921445296,5.8653340702,5.9317627002,5.9881076361,6.0324718253,6.0648686245,6.0871259196,6.1023118468,6.1138850542,6.1248244156,6.1369804681,6.1508163115,6.1655892746,6.1798978851,6.1924159379,6.2025844451,6.2110464269,6.2196844697,6.2312356833,6.2485812549,6.2739042362,6.3079527216,6.3496238463,6.3960025815,6.4428699001,6.4855696744,6.5200263477,6.5436621811,6.5559853021,6.5587018352,6.5553251814,6.5503812515,6.5484071861,6.5529874669,6.5660543315,6.5876050882,6.6158783958,6.6479150471,6.6803371787,6.7101363563,6.7352750763,6.7549712793,6.7696311776,6.780494032,6.7891258414,6.7969278191,6.8048042217,6.8130719914,6.8216137307
24,5.6568250317,5.7330754363,5.806264977,5.8726936069,5.9290385428,5.9734027321,6.0057995312,6.0280568263,6.0432427535,6.0548159609,6.0657553223,6.0779113748,6.0917472182,6.1065201814,6.1208287918,6.1333468446,6.1435153518,6.1519773336,6.1606153764,6.1721665901,6.1895121616,6.2148351429,6.2488836283,6.290554753,6.3369334882,6.3838008068,6.4265005812,6.4609572544,6.4845930878,6.4969162088,6.499632742,6.4962560882,6.4913121582,6.4893380928,6.4939183736,6.5069852382,6.5285359949,6.5568093025,6.5888459538,6.6212680854,6.651067263,6.676205983,6.695902186,6.7105620843,6.7214249387,6.7300567481,6.7378587258,6.7457351284,6.7540028982,6.7625446374
25,5.6029779284,5.6792283331,5.7524178737,5.8188465037,5.8751914395,5.9195556288,5.951952428,5.9742097231,5.9893956503,6.0009688577,6.0119082191,6.0240642715,6.0379001149,6.0526730781,6.0669816886,6.0794997413,6.0896682486,6.0981302304,6.1067682732,6.1183194868,6.1356650583,6.1609880397,6.1950365251,6.2367076498,6.283086385,6.3299537036,6.3726534779,6.4071101511,6.4307459846,6.4430691056,6.4457856387,6.4424089849,6.4374650549,6.4354909896,6.4400712703,6.453138135,6.4746888917,6.5029621993,6.5349988506,6.5674209822,6.5972201598,6.6223588798,6.6420550827,6.6567149811,6.6675778354,6.6762096449,6.6840116226,6.6918880252,6.7001557949,6.7086975342
26,5.5569499198,5.6332003245,5.7063898651,5.7728184951,5.8291634309,5.8735276202,5.9059244193,5.9281817145,5.9433676416,5.954940849,5.9658802105,5.9780362629,5.9918721063,6.0066450695,6.0209536799,6.0334717327,6.0436402399,6.0521022218,6.0607402645,6.0722914782,6.0896370497,6.114960031,6.1490085164,6.1906796412,6.2370583763,6.283925695,6.3266254693,6.3610821425,6.384717976,6.397041097,6.3997576301,6.3963809763,6.3914370463,6.3894629809,6.3940432617,6.4071101264,6.4286608831,6.4569341906,6.488970842,6.5213929735,6.5511921512,6.5763308711,6.5960270741,6.6106869724,6.6215498268,6.6301816363,6.637983614,6.6458600166,6.6541277863,6.6626695255
27,5.5203379409,5.5965883455,5.6697778862,5.7362065161,5.792551452,5.8369156413,5.8693124404,5.8915697355,5.9067556627,5.9183288701,5.9292682315,5.941424284,5.9552601274,5.9700330906,5.984341701,5.9968597538,6.007028261,6.0154902428,6.0241282856,6.0356794993,6.0530250708,6.0783480521,6.1123965375,6.1540676622,6.2004463974,6.247313716,6.2900134904,6.3244701636,6.348105997,6.360429118,6.3631456512,6.3597689974,6.3548250674,6.352851002,6.3574312828,6.3704981474,6.3920489041,6.4203222117,6.452358863,6.4847809946,6.5145801722,6.5397188922,6.5594150952,6.5740749935,6.5849378479,6.5935696573,6.6013716351,6.6092480377,6.6175158074,6.6260575466
28,5.4935631783,5.569813583,5.6430031236,5.7094317536,5.7657766894,5.8101408787,5.8425376778,5.864794973,5.8799809001,5.8915541075,5.902493469,5.9146495214,5.9284853648,5.943258328,5.9575669384,5.9700849912,5.9802534985,5.9887154803,5.997353523,6.0089047367,6.0262503082,6.0515732896,6.0856217749,6.1272928997,6.1736716348,6.2205389535,6.2632387278,6.297695401,6.3213312345,6.3336543555,6.3363708886,6.3329942348,6.3280503048,6.3260762395,6.3306565202,6.3437233849,6.3652741416,6.3935474491,6.4255841005,6.4580062321,6.4878054097,6.5129441297,6.5326403326,6.547300231,6.5581630853,6.5667948948,6.5745968725,6.5824732751,6.5907410448,6.5992827841
29,5.4758528577,5.5521032623,5.6252928029,5.6917214329,5.7480663688,5.792430558,5.8248273572,5.8470846523,5.8622705795,5.8738437869,5.8847831483,5.8969392008,5.9107750442,5.9255480073,5.9398566178,5.9523746706,5.9625431778,5.9710051596,5.9796432024,5.991194416,6.0085399876,6.0338629689,6.0679114543,6.109582579,6.1559613142,6.2028286328,6.2455284071,6.2799850804,6.3036209138,6.3159440348,6.3186605679,6.3152839141,6.3103399842,6.3083659188,6.3129461996,6.3260130642,6.3475638209,6.3758371285,6.4078737798,6.4402959114,6.470095089,6.495233809,6.5149300119,6.5295899103,6.5404527647,6.5490845741,6.5568865518,6.5647629544,6.5730307241,6.5815724634
30,5.4653762542,5.5416266588,5.6148161994,5.6812448294,5.7375897653,5.7819539546,5.8143507537,5.8366080488,5.851793976,5.8633671834,5.8743065448,5.8864625973,5.9002984407,5.9150714039,5.9293800143,5.9418980671,5.9520665743,5.9605285561,5.9691665989,5.9807178126,5.9980633841,6.0233863654,6.0574348508,6.0991059755,6.1454847107,6.1923520293,6.2350518036,6.2695084769,6.2931443103,6.3054674313,6.3081839644,6.3048073106,6.2998633807,6.2978893153,6.3024695961,6.3155364607,6.3370872174,6.365360525,6.3973971763,6.4298193079,6.4596184855,6.4847572055,6.5044534085,6.5191133068,6.5299761612,6.5386079706,6.5464099483,6.5542863509,6.5625541206,6.5710958599
